,minibatch_loss,epoch_avg_loss,epoch_val_loss,learning_rate,evaluation_loss,training_confusion_matrix,validation_confusion_matrix,evaluation_confusion_matrix,train_ious,train_dices,train_precision,train_recall,train_specificity,train_sensitivity,val_ious,val_dices,val_precision,val_recall,val_specificity,val_sensitivity,test_ious,test_dices,test_precision,test_recall,test_specificity,test_sensitivity
49,,0.907270073890686,,0.0001,,"[[8.14903401e+01 1.09915557e+01 7.45377717e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.81542794 0.00581836 0.        ],[0.89833138 0.0115694  0.        ],[1.         0.00581836 0.        ],[0.81542794 1.                nan],[1.         0.89001369 0.92546223],[0.81542794 1.                nan],,,,,,,,,,,,
50,,,0.9371180534362793,0.0001,,,"[[7.71114915e+01 1.28431956e+01 1.00124218e+01]
 [0.00000000e+00 1.81833903e-02 1.47077772e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.77136863 0.00141218 0.        ],[0.87092953 0.00282038 0.        ],[1.        0.0014138 0.       ],[0.77136863 0.55283505        nan],[1.         0.87152579 0.8997287 ],[0.77136863 0.55283505        nan],,,,,,
51,0.9071176648139954,,,,,,,,,,,,,,,,,,,,,,,,,
52,,0.9071176648139954,,0.0001,,"[[8.16359485e+01 1.08707287e+01 7.42899577e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.81688496 0.00588265 0.        ],[0.89921484 0.01169649 0.        ],[1.         0.00588265 0.        ],[0.81688496 1.                nan],[1.         0.89122274 0.92571004],[0.81688496 1.                nan],,,,,,,,,,,,
53,,,0.9364265203475952,0.0001,,,"[[7.79079579e+01 1.24844304e+01 9.57472059e+00]
 [0.00000000e+00 1.81692618e-02 1.47219057e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.77933591 0.00145153 0.        ],[0.87598514 0.00289885 0.        ],[1.         0.00145324 0.        ],[0.77933591 0.5524055         nan],[1.         0.87511462 0.90410557],[0.77933591 0.5524055         nan],,,,,,
54,0.9069669246673584,,,,,,,,,,,,,,,,,,,,,,,,,
55,,0.9069669246673584,,0.0001,,"[[8.17827154e+01 1.07459881e+01 7.40696942e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.81835358 0.00595053 0.        ],[0.9001039  0.01183066 0.        ],[1.         0.00595053 0.        ],[0.81835358 1.                nan],[1.         0.89247095 0.92593031],[0.81835358 1.                nan],,,,,,,,,,,,
56,,,0.935814380645752,0.0001,,,"[[7.85890367e+01 1.21531169e+01 9.22495524e+00]
 [0.00000000e+00 1.80986192e-02 1.47925483e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.78614894 0.0014852  0.        ],[0.88027255 0.00296599 0.        ],[1.       0.001487 0.      ],[0.78614894 0.55025773        nan],[1.         0.87842885 0.90760252],[0.78614894 0.55025773        nan],,,,,,
57,0.9068180918693542,,,,,,,,,,,,,,,,,,,,,,,,,
58,,0.9068180918693542,,0.0001,,"[[8.19351479e+01 1.06221941e+01 7.37833094e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.81987888 0.00601946 0.        ],[0.90102577 0.01196689 0.        ],[1.         0.00601946 0.        ],[0.81987888 1.                nan],[1.         0.89370969 0.92621669],[0.81987888 1.                nan],,,,,,,,,,,,
59,,,0.9352763891220093,0.0001,,,"[[7.91783933e+01 1.18416680e+01 8.94704748e+00]
 [0.00000000e+00 1.79573342e-02 1.49338334e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.79204445 0.00151225 0.        ],[0.88395625 0.00301994 0.        ],[1.         0.00151416 0.        ],[0.79204445 0.5459622         nan],[1.         0.88154436 0.91038019],[0.79204445 0.5459622         nan],,,,,,
60,0.9066714644432068,,,,,,,,,,,,,,,,,,,,,,,,,
61,,0.9066714644432068,,0.0001,,"[[8.20877358e+01 1.04985272e+01 7.34940988e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.82140574 0.00608994 0.        ],[0.90194702 0.01210614 0.        ],[1.         0.00608994 0.        ],[0.82140574 1.                nan],[1.         0.89494715 0.9265059 ],[0.82140574 1.                nan],,,,,,,,,,,,
62,,,0.9348008036613464,0.0001,,,"[[7.96994951e+01 1.15504088e+01 8.71720491e+00]
 [0.00000000e+00 1.78443061e-02 1.50468614e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.79725718 0.00154052 0.        ],[0.88719321 0.0030763  0.        ],[1.         0.00154252 0.        ],[0.79725718 0.54252577        nan],[1.         0.88445791 0.91267748],[0.79725718 0.54252577        nan],,,,,,
63,0.9065271019935608,,,,,,,,,,,,,,,,,,,,,,,,,
64,,0.9065271019935608,,0.0001,,"[[8.22448589e+01 1.03723314e+01 7.31848258e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.82297799 0.00616357 0.        ],[0.90289405 0.01225163 0.        ],[1.         0.00616357 0.        ],[0.82297799 1.                nan],[1.         0.89620992 0.92681517],[0.82297799 1.                nan],,,,,,,,,,,,
65,,,0.9343807697296143,0.0001,,,"[[8.01524692e+01 1.12850754e+01 8.52956419e+00]
 [0.00000000e+00 1.76606355e-02 1.52305320e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.80178841 0.00156041 0.        ],[0.88999175 0.00311595 0.        ],[1.         0.00156251 0.        ],[0.80178841 0.53694158        nan],[1.         0.88711212 0.91455205],[0.80178841 0.53694158        nan],,,,,,
66,0.9063849449157715,,,,,,,,,,,,,,,,,,,,,,,,,
67,,0.9063849449157715,,1e-05,,"[[8.23958927e+01 1.02499079e+01 7.28987235e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.8244893  0.00623673 0.        ],[0.90380283 0.01239615 0.        ],[1.         0.00623673 0.        ],[0.8244893 1.              nan],[1.         0.89743494 0.92710128],[0.8244893 1.              nan],,,,,,,,,,,,
68,,,0.9339420199394226,1e-05,,,"[[8.05749399e+01 1.11285033e+01 8.26366566e+00]
 [0.00000000e+00 1.77030210e-02 1.51881465e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.80601451 0.00158609 0.        ],[0.89258918 0.00316716 0.        ],[1.         0.00158826 0.        ],[0.80601451 0.53823024        nan],[1.         0.88867835 0.91721146],[0.80601451 0.53823024        nan],,,,,,
69,0.9063708782196045,,,,,,,,,,,,,,,,,,,,,,,,,
70,,0.9063708782196045,,1e-05,,"[[8.24117307e+01 1.02374748e+01 7.28646738e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.82464778 0.00624426 0.        ],[0.90389804 0.01241102 0.        ],[1.         0.00624426 0.        ],[0.82464778 1.                nan],[1.         0.89755935 0.92713533],[0.82464778 1.                nan],,,,,,,,,,,,
